,,,,Freq,uencies,of Kp,Indices,2023,
,,,,,,,,,
,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep    Oct   Nov   Dec
,,,,,,,,,
,,,,,,,,,
0o,8,5,2,3,4,3,1,7,6      .     .     .
+,20,16,22,17,22,17,15,23,12
,,,,,,,,,
-,22,16,21,13,29,23,39,28,20
1o,28,16,13,27,24,20,38,34,11
+,18,19,18,29,25,35,31,46,20
,,,,,,,,,
-,30,19,17,21,19,24,26,31,19
2o,27,21,23,21,23,34,24,33,25
+,24,15,23,20,20,29,20,11,18
,,,,,,,,,
-,26,17,22,17,26,18,15,9,27
3o,14,21,24,19,15,14,10,9,16
+,12,20,19,24,12,6,10,6,20
,,,,,,,,,
-,6,8,17,14,6,5,5,1,8
4o,9,9,11,5,7,3,5,6,8
+,1,8,4,1,4,2,6,.,7
,,,,,,,,,
-,2,1,3,2,5,2,3,1,8
5o,1,3,1,.,1,3,,1,4
+,,1,.,1,2,1,,1,7
,,,,,,,,,
-,,2,2,1,3,.,,.,2
6o,,2,.,.,1,1,,.,1
+,,2,2,.,,,,1,1
,,,,,,,,,
-,,3,1,1,,,,,
7o,,,1,1,,,,,
+,,,1,1,,,,,
,,,,,,,,,
-,,,.,.,,,,,
8o,,,1,1,,,,,
1,,,,,,,,,
,,,,,,,,,
-,,,,,,,,,
9o,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,248,224,248,240,248,240,248,248,240      0     0     0
